Giver	Year	Recipient	Points
Russia	2007	Turkey	2
Russia	2007	Bulgaria	4
Russia	2007	Belarus	12
Russia	2007	Armenia	10
Russia	2007	Moldova	6
Russia	2007	Georgia	7
Russia	2007	Romania	1
Russia	2007	Slovenia	3
Russia	2008	Armenia	12
Russia	2008	Israel	6
Russia	2008	Croatia	1
Russia	2008	Turkey	2
Russia	2008	Georgia	7
Russia	2008	Ukraine	8
Russia	2008	Azerbaijan	10
Russia	2008	Greece	3
Russia	2008	Serbia	4
Russia	2008	Norway	5
Russia	2009	France	10
Russia	2009	Iceland	3
Russia	2009	Greece	4
Russia	2009	Armenia	5
Russia	2009	Azerbaijan	7
Russia	2009	Moldova	1
Russia	2009	Estonia	8
Russia	2009	Norway	12
Russia	2009	Ukraine	2
Russia	2009	United Kingdom	6
Russia	2010	Azerbaijan	8
Russia	2010	Spain	4
Russia	2010	Belgium	5
Russia	2010	Belarus	2
Russia	2010	Georgia	10
Russia	2010	Ukraine	7
Russia	2010	Romania	3
Russia	2010	Armenia	12
Russia	2010	Germany	6
Russia	2010	Denmark	1
Serbia	2007	Ukraine	3
Serbia	2007	Russia	7
Serbia	2007	Bulgaria	6
Serbia	2007	Belarus	2
Serbia	2007	Greece	4
Serbia	2007	Hungary	12
Serbia	2007	Moldova	1
Serbia	2007	Bosnia-Herzegovina	8
Serbia	2007	Macedonia	10
Serbia	2007	Slovenia	5
Serbia	2008	Armenia	5
Serbia	2008	Bosnia-Herzegovina	12
Serbia	2008	Israel	7
Serbia	2008	Croatia	3
Serbia	2008	Portugal	1
Serbia	2008	Sweden	2
Serbia	2008	Ukraine	6
Serbia	2008	Greece	8
Serbia	2008	Russia	10
Serbia	2008	Norway	4
Serbia	2009	France	3
Serbia	2009	Croatia	5
Serbia	2009	Greece	6
Serbia	2009	Azerbaijan	4
Serbia	2009	Bosnia-Herzegovina	12
Serbia	2009	Malta	7
Serbia	2009	Denmark	1
Serbia	2009	Norway	10
Serbia	2009	Romania	2
Serbia	2009	United Kingdom	8
Serbia	2010	Bosnia-Herzegovina	12
Serbia	2010	Belgium	5
Serbia	2010	Greece	10
Serbia	2010	Turkey	3
Serbia	2010	Ukraine	7
Serbia	2010	France	4
Serbia	2010	Romania	6
Serbia	2010	Armenia	1
Serbia	2010	Germany	8
Serbia	2010	Portugal	2
Serbia & Montenegro	2004	Albania	8
Serbia & Montenegro	2004	Ukraine	10
Serbia & Montenegro	2004	Croatia	5
Serbia & Montenegro	2004	Bosnia-Herzegovina	6
Serbia & Montenegro	2004	Russia	1
Serbia & Montenegro	2004	Macedonia	12
Serbia & Montenegro	2004	Greece	7
Serbia & Montenegro	2004	Cyprus	3
Serbia & Montenegro	2004	Turkey	2
Serbia & Montenegro	2004	Sweden	4
Serbia & Montenegro	2005	Hungary	6
Serbia & Montenegro	2005	Romania	3
Serbia & Montenegro	2005	Norway	2
Serbia & Montenegro	2005	Moldova	5
Serbia & Montenegro	2005	Albania	8
Serbia & Montenegro	2005	Cyprus	1
Serbia & Montenegro	2005	Macedonia	7
Serbia & Montenegro	2005	Croatia	10
Serbia & Montenegro	2005	Greece	12
Serbia & Montenegro	2005	Bosnia-Herzegovina	4
Serbia & Montenegro	2006	Russia	5
Serbia & Montenegro	2006	Macedonia	8
Serbia & Montenegro	2006	Romania	4
Serbia & Montenegro	2006	Bosnia-Herzegovina	12
Serbia & Montenegro	2006	Lithuania	3
Serbia & Montenegro	2006	Greece	6
Serbia & Montenegro	2006	Finland	7
Serbia & Montenegro	2006	Ukraine	2
Serbia & Montenegro	2006	Croatia	10
Serbia & Montenegro	2006	Sweden	1
Slovakia	1994	Ireland	6
Slovakia	1994	Iceland	1
Slovakia	1994	United Kingdom	3
Slovakia	1994	Croatia	12
Slovakia	1994	Malta	10
Slovakia	1994	Germany	7
Slovakia	1994	Bosnia-Herzegovina	8
Slovakia	1994	Greece	5
Slovakia	1994	Spain	2
Slovakia	1994	Poland	4
Slovakia	1996	United Kingdom	6
Slovakia	1996	Cyprus	10
Slovakia	1996	Malta	12
Slovakia	1996	Croatia	5
Slovakia	1996	Austria	3
Slovakia	1996	Greece	8
Slovakia	1996	Ireland	7
Slovakia	1996	Iceland	1
Slovakia	1996	Poland	2
Slovakia	1996	Sweden	4
Slovakia	1998	Croatia	10
Slovakia	1998	Malta	12
Slovakia	1998	Ireland	4
Slovakia	1998	Portugal	2
Slovakia	1998	United Kingdom	1
Slovakia	1998	Cyprus	5
Slovakia	1998	Netherlands	6
Slovakia	1998	Belgium	7
Slovakia	1998	Estonia	8
Slovakia	1998	Macedonia	3
Slovakia	2009	Israel	5
Slovakia	2009	Portugal	2
Slovakia	2009	Iceland	6
Slovakia	2009	Armenia	3
Slovakia	2009	Azerbaijan	4
Slovakia	2009	Bosnia-Herzegovina	8
Slovakia	2009	Estonia	12
Slovakia	2009	Norway	10
Slovakia	2009	Ukraine	1
Slovakia	2009	United Kingdom	7
Slovakia	2010	Norway	3
Slovakia	2010	Cyprus	2
Slovakia	2010	Belgium	10
Slovakia	2010	Greece	5
Slovakia	2010	Romania	1
Slovakia	2010	Russia	6
Slovakia	2010	Armenia	4
Slovakia	2010	Germany	12
Slovakia	2010	Israel	8
Slovakia	2010	Denmark	7
Slovenia	1993	Switzerland	8
Slovenia	1993	Iceland	5
Slovenia	1993	France	4
Slovenia	1993	Sweden	6
Slovenia	1993	Ireland	12
Slovenia	1993	Luxembourg	1
Slovenia	1993	United Kingdom	10
Slovenia	1993	Netherlands	7
Slovenia	1993	Spain	2
Slovenia	1993	Norway	3
Slovenia	1995	Ireland	5
Slovenia	1995	Norway	7
Slovenia	1995	Turkey	3
Slovenia	1995	Croatia	12
Slovenia	1995	France	8
Slovenia	1995	Cyprus	4
Slovenia	1995	Sweden	1
Slovenia	1995	Denmark	6
Slovenia	1995	Israel	10
Slovenia	1995	Greece	2
Slovenia	1996	Malta	4
Slovenia	1996	Croatia	3
Slovenia	1996	Austria	1
Slovenia	1996	Switzerland	2
Slovenia	1996	Estonia	8
Slovenia	1996	Norway	10
Slovenia	1996	Netherlands	5
Slovenia	1996	Ireland	12
Slovenia	1996	Iceland	6
Slovenia	1996	Sweden	7
Slovenia	1997	Cyprus	4
Slovenia	1997	Ireland	1
Slovenia	1997	Italy	10
Slovenia	1997	Spain	5
Slovenia	1997	Poland	7
Slovenia	1997	Estonia	3
Slovenia	1997	Sweden	6
Slovenia	1997	Russia	12
Slovenia	1997	France	2
Slovenia	1997	United Kingdom	8
Slovenia	1998	Croatia	12
Slovenia	1998	Israel	7
Slovenia	1998	Germany	8
Slovenia	1998	Malta	3
Slovenia	1998	Ireland	1
Slovenia	1998	United Kingdom	5
Slovenia	1998	Belgium	6
Slovenia	1998	Norway	10
Slovenia	1998	Estonia	2
Slovenia	1998	Macedonia	4
Slovenia	1999	Croatia	12
Slovenia	1999	United Kingdom	2
Slovenia	1999	Denmark	5
Slovenia	1999	Netherlands	3
Slovenia	1999	Sweden	7
Slovenia	1999	Austria	4
Slovenia	1999	Israel	1
Slovenia	1999	Germany	6
Slovenia	1999	Bosnia-Herzegovina	10
Slovenia	1999	Estonia	8
Slovenia	2001	Netherlands	4
Slovenia	2001	Bosnia-Herzegovina	7
Slovenia	2001	Lithuania	2
Slovenia	2001	Croatia	5
Slovenia	2001	Spain	1
Slovenia	2001	France	6
Slovenia	2001	Poland	3
Slovenia	2001	Estonia	12
Slovenia	2001	Greece	8
Slovenia	2001	Denmark	10
Slovenia	2002	Cyprus	4
Slovenia	2002	United Kingdom	8
Slovenia	2002	Croatia	12
Slovenia	2002	Estonia	6
Slovenia	2002	Switzerland	1
Slovenia	2002	Sweden	7
Slovenia	2002	Bosnia-Herzegovina	2
Slovenia	2002	France	3
Slovenia	2002	Malta	10
Slovenia	2002	Latvia	5
Slovenia	2003	Iceland	4
Slovenia	2003	Austria	7
Slovenia	2003	Ireland	2
Slovenia	2003	Turkey	10
Slovenia	2003	Croatia	8
Slovenia	2003	Russia	12
Slovenia	2003	Spain	1
Slovenia	2003	Norway	5
Slovenia	2003	Belgium	3
Slovenia	2003	Sweden	6
Slovenia	2004	Serbia & Montenegro	12
Slovenia	2004	Germany	3
Slovenia	2004	Albania	4
Slovenia	2004	Ukraine	8
Slovenia	2004	Croatia	5
Slovenia	2004	Bosnia-Herzegovina	10
Slovenia	2004	Macedonia	7
Slovenia	2004	Greece	6
Slovenia	2004	Cyprus	1
Slovenia	2004	Sweden	2
Slovenia	2005	Malta	1
Slovenia	2005	Norway	4
Slovenia	2005	Moldova	3
Slovenia	2005	Serbia & Montenegro	10
Slovenia	2005	Macedonia	5
Slovenia	2005	Croatia	12
Slovenia	2005	Greece	2
Slovenia	2005	Bosnia-Herzegovina	8
Slovenia	2005	Switzerland	6
Slovenia	2005	Latvia	7
Slovenia	2006	Russia	4
Slovenia	2006	Macedonia	6
Slovenia	2006	Romania	5
Slovenia	2006	Bosnia-Herzegovina	12
Slovenia	2006	Lithuania	3
Slovenia	2006	Finland	8
Slovenia	2006	Ukraine	2
Slovenia	2006	Croatia	10
Slovenia	2006	Ireland	1
Slovenia	2006	Sweden	7
Slovenia	2007	Serbia	12
Slovenia	2007	Ukraine	4
Slovenia	2007	Russia	3
Slovenia	2007	Bulgaria	7
Slovenia	2007	Hungary	5
Slovenia	2007	Moldova	1
Slovenia	2007	Bosnia-Herzegovina	8
Slovenia	2007	Georgia	2
Slovenia	2007	Macedonia	10
Slovenia	2007	Latvia	6
Slovenia	2008	Albania	4
Slovenia	2008	Armenia	5
Slovenia	2008	Bosnia-Herzegovina	10
Slovenia	2008	Israel	3
Slovenia	2008	Croatia	8
Slovenia	2008	Ukraine	2
Slovenia	2008	Azerbaijan	1
Slovenia	2008	Greece	6
Slovenia	2008	Serbia	12
Slovenia	2008	Russia	7
Slovenia	2009	France	7
Slovenia	2009	Croatia	6
Slovenia	2009	Iceland	5
Slovenia	2009	Greece	4
Slovenia	2009	Azerbaijan	1
Slovenia	2009	Bosnia-Herzegovina	10
Slovenia	2009	Denmark	8
Slovenia	2009	Albania	2
Slovenia	2009	Norway	12
Slovenia	2009	United Kingdom	3
Slovenia	2010	Spain	5
Slovenia	2010	Bosnia-Herzegovina	4
Slovenia	2010	Serbia	8
Slovenia	2010	Georgia	1
Slovenia	2010	Turkey	2
Slovenia	2010	France	3
Slovenia	2010	Romania	7
Slovenia	2010	Germany	10
Slovenia	2010	Israel	6
Slovenia	2010	Denmark	12
Spain	1975	Netherlands	12
Spain	1975	Ireland	3
Spain	1975	France	8
Spain	1975	Germany	4
Spain	1975	Luxembourg	6
Spain	1975	United Kingdom	10
Spain	1975	Finland	1
Spain	1975	Portugal	2
Spain	1975	Sweden	5
Spain	1975	Italy	7
Spain	1976	United Kingdom	12
Spain	1976	Switzerland	4
Spain	1976	Germany	2
Spain	1976	Israel	1
Spain	1976	Ireland	5
Spain	1976	Netherlands	3
Spain	1976	Finland	6
Spain	1976	Austria	8
Spain	1976	Monaco	7
Spain	1976	France	10
Spain	1977	Ireland	4
Spain	1977	Monaco	8
Spain	1977	Netherlands	1
Spain	1977	Germany	5
Spain	1977	Luxembourg	7
Spain	1977	United Kingdom	3
Spain	1977	Greece	12
Spain	1977	Israel	6
Spain	1977	Italy	2
Spain	1977	France	10
Spain	1978	Italy	8
Spain	1978	Portugal	1
Spain	1978	France	5
Spain	1978	United Kingdom	3
Spain	1978	Switzerland	4
Spain	1978	Belgium	2
Spain	1978	Germany	10
Spain	1978	Greece	7
Spain	1978	Luxembourg	12
Spain	1978	Israel	6
Spain	1979	Portugal	6
Spain	1979	Italy	8
Spain	1979	Denmark	4
Spain	1979	Monaco	2
Spain	1979	Greece	7
Spain	1979	Germany	12
Spain	1979	Israel	10
Spain	1979	France	3
Spain	1979	Norway	1
Spain	1979	United Kingdom	5
Spain	1980	Austria	4
Spain	1980	Luxembourg	3
Spain	1980	Italy	10
Spain	1980	Sweden	1
Spain	1980	Switzerland	2
Spain	1980	Germany	12
Spain	1980	United Kingdom	8
Spain	1980	Netherlands	5
Spain	1980	France	6
Spain	1980	Ireland	7
Spain	1981	Austria	6
Spain	1981	Germany	12
Spain	1981	Luxembourg	1
Spain	1981	Denmark	3
Spain	1981	Finland	2
Spain	1981	Netherlands	7
Spain	1981	Ireland	5
Spain	1981	United Kingdom	8
Spain	1981	Greece	10
Spain	1981	Switzerland	4
Spain	1982	Luxembourg	5
Spain	1982	Norway	2
Spain	1982	United Kingdom	1
Spain	1982	Cyprus	7
Spain	1982	Sweden	4
Spain	1982	Austria	8
Spain	1982	Belgium	10
Spain	1982	Israel	6
Spain	1982	Ireland	3
Spain	1982	Germany	12
Spain	1983	Sweden	2
Spain	1983	Italy	3
Spain	1983	Switzerland	1
Spain	1983	Greece	12
Spain	1983	Yugoslavia	10
Spain	1983	Denmark	4
Spain	1983	Israel	6
Spain	1983	Portugal	5
Spain	1983	Belgium	8
Spain	1983	Luxembourg	7
Spain	1984	Sweden	4
Spain	1984	Luxembourg	7
Spain	1984	United Kingdom	3
Spain	1984	Belgium	2
Spain	1984	Ireland	10
Spain	1984	Denmark	6
Spain	1984	Netherlands	8
Spain	1984	Finland	1
Spain	1984	Italy	12
Spain	1984	Portugal	5
Spain	1985	Ireland	4
Spain	1985	Finland	6
Spain	1985	Turkey	3
Spain	1985	Germany	10
Spain	1985	Israel	8
Spain	1985	Italy	12
Spain	1985	Norway	1
Spain	1985	United Kingdom	5
Spain	1985	Sweden	2
Spain	1985	Greece	7
Spain	1986	Yugoslavia	3
Spain	1986	United Kingdom	2
Spain	1986	Iceland	6
Spain	1986	Netherlands	1
Spain	1986	Switzerland	4
Spain	1986	Ireland	12
Spain	1986	Belgium	10
Spain	1986	Sweden	7
Spain	1986	Denmark	5
Spain	1986	Portugal	8
Spain	1987	Norway	3
Spain	1987	Iceland	4
Spain	1987	Belgium	7
Spain	1987	Italy	12
Spain	1987	Portugal	8
Spain	1987	Netherlands	5
Spain	1987	Germany	1
Spain	1987	Finland	2
Spain	1987	Ireland	10
Spain	1987	Yugoslavia	6
Spain	1988	United Kingdom	10
Spain	1988	Turkey	5
Spain	1988	Israel	6
Spain	1988	Switzerland	8
Spain	1988	Ireland	12
Spain	1988	Germany	3
Spain	1988	Denmark	1
Spain	1988	Italy	7
Spain	1988	France	2
Spain	1988	Portugal	4
Spain	1989	Italy	12
Spain	1989	Netherlands	6
Spain	1989	Turkey	1
Spain	1989	United Kingdom	10
Spain	1989	Portugal	8
Spain	1989	Sweden	5
Spain	1989	Luxembourg	3
Spain	1989	Austria	2
Spain	1989	Finland	7
Spain	1989	Greece	4
Spain	1990	United Kingdom	7
Spain	1990	Iceland	4
Spain	1990	Denmark	6
Spain	1990	Switzerland	1
Spain	1990	Germany	8
Spain	1990	France	5
Spain	1990	Yugoslavia	3
Spain	1990	Ireland	10
Spain	1990	Sweden	2
Spain	1990	Italy	12
Spain	1991	Malta	6
Spain	1991	Greece	5
Spain	1991	Sweden	4
Spain	1991	France	8
Spain	1991	Turkey	2
Spain	1991	Portugal	10
Spain	1991	Israel	12
Spain	1991	Germany	1
Spain	1991	Belgium	3
Spain	1991	Italy	7
Spain	1992	Belgium	3
Spain	1992	Israel	10
Spain	1992	France	6
Spain	1992	Malta	12
Spain	1992	Iceland	8
Spain	1992	Austria	2
Spain	1992	United Kingdom	5
Spain	1992	Ireland	1
Spain	1992	Denmark	4
Spain	1992	Netherlands	7
Spain	1993	Italy	2
Spain	1993	Turkey	6
Spain	1993	Switzerland	3
Spain	1993	Greece	8
Spain	1993	Malta	4
Spain	1993	Portugal	12
Spain	1993	Ireland	10
Spain	1993	United Kingdom	5
Spain	1993	Netherlands	7
Spain	1993	Croatia	1
Spain	1994	Sweden	1
Spain	1994	Ireland	10
Spain	1994	Cyprus	4
Spain	1994	Iceland	6
Spain	1994	United Kingdom	3
Spain	1994	Portugal	12
Spain	1994	Switzerland	2
Spain	1994	Germany	8
Spain	1994	Norway	5
Spain	1994	Bosnia-Herzegovina	7
Spain	1995	Ireland	3
Spain	1995	Norway	4
Spain	1995	Austria	6
Spain	1995	Turkey	2
Spain	1995	Croatia	12
Spain	1995	Hungary	1
Spain	1995	Belgium	7
Spain	1995	Cyprus	5
Spain	1995	Malta	10
Spain	1995	Greece	8
Spain	1996	Turkey	8
Spain	1996	Cyprus	7
Spain	1996	Malta	10
Spain	1996	Croatia	5
Spain	1996	Estonia	4
Spain	1996	Slovenia	1
Spain	1996	Netherlands	6
Spain	1996	Belgium	12
Spain	1996	Iceland	3
Spain	1996	Slovakia	2
Spain	1997	Cyprus	10
Spain	1997	Turkey	12
Spain	1997	Ireland	6
Spain	1997	Switzerland	3
Spain	1997	Italy	8
Spain	1997	Poland	2
Spain	1997	Estonia	4
Spain	1997	Greece	7
Spain	1997	Malta	1
Spain	1997	United Kingdom	5
Spain	1998	Croatia	1
Spain	1998	Israel	10
Spain	1998	Germany	12
Spain	1998	Malta	5
Spain	1998	Portugal	6
Spain	1998	United Kingdom	3
Spain	1998	Netherlands	4
Spain	1998	Belgium	7
Spain	1998	Norway	8
Spain	1998	Estonia	2
Spain	1999	Croatia	12
Spain	1999	United Kingdom	4
Spain	1999	Slovenia	2
Spain	1999	Denmark	5
Spain	1999	Netherlands	3
Spain	1999	Iceland	10
Spain	1999	Sweden	6
Spain	1999	Israel	8
Spain	1999	Germany	7
Spain	1999	Estonia	1
Spain	2000	Netherlands	4
Spain	2000	Malta	1
Spain	2000	Russia	5
Spain	2000	Denmark	10
Spain	2000	Germany	12
Spain	2000	Croatia	2
Spain	2000	Sweden	6
Spain	2000	Latvia	7
Spain	2000	Ireland	3
Spain	2000	Austria	8
Spain	2001	Sweden	5
Spain	2001	Portugal	6
Spain	2001	France	3
Spain	2001	United Kingdom	1
Spain	2001	Slovenia	2
Spain	2001	Germany	10
Spain	2001	Estonia	8
Spain	2001	Malta	4
Spain	2001	Greece	12
Spain	2001	Denmark	7
Spain	2002	Cyprus	6
Spain	2002	Bosnia-Herzegovina	3
Spain	2002	Belgium	1
Spain	2002	France	8
Spain	2002	Germany	2
Spain	2002	Turkey	4
Spain	2002	Malta	10
Spain	2002	Romania	5
Spain	2002	Slovenia	7
Spain	2002	Latvia	12
Spain	2003	Austria	8
Spain	2003	Turkey	3
Spain	2003	Portugal	2
Spain	2003	Germany	4
Spain	2003	Russia	6
Spain	2003	Israel	1
Spain	2003	Poland	5
Spain	2003	Belgium	12
Spain	2003	Romania	10
Spain	2003	Sweden	7
Spain	2004	France	4
Spain	2004	Serbia & Montenegro	6
Spain	2004	Germany	12
Spain	2004	Ukraine	8
Spain	2004	Greece	7
Spain	2004	Poland	1
Spain	2004	Cyprus	3
Spain	2004	Turkey	2
Spain	2004	Romania	10
Spain	2004	Sweden	5
Spain	2005	Hungary	5
Spain	2005	Malta	7
Spain	2005	Romania	12
Spain	2005	Norway	3
Spain	2005	Moldova	4
Spain	2005	Israel	6
Spain	2005	Denmark	10
Spain	2005	Sweden	2
Spain	2005	Ukraine	1
Spain	2005	Greece	8
Spain	2006	Moldova	2
Spain	2006	Germany	5
Spain	2006	Russia	7
Spain	2006	Romania	12
Spain	2006	Bosnia-Herzegovina	1
Spain	2006	Lithuania	4
Spain	2006	Finland	10
Spain	2006	Ukraine	3
Spain	2006	Sweden	6
Spain	2006	Armenia	8
Spain	2007	Serbia	1
Spain	2007	Ukraine	7
Spain	2007	Russia	4
Spain	2007	Bulgaria	10
Spain	2007	Greece	2
Spain	2007	Armenia	8
Spain	2007	Moldova	6
Spain	2007	Romania	12
Spain	2007	Slovenia	3
Spain	2007	Germany	5
Spain	2008	Romania	12
Spain	2008	Armenia	10
Spain	2008	Iceland	4
Spain	2008	Portugal	8
Spain	2008	Latvia	2
Spain	2008	Sweden	1
Spain	2008	Ukraine	7
Spain	2008	Greece	3
Spain	2008	Russia	5
Spain	2008	Norway	6
Spain	2009	France	3
Spain	2009	Portugal	8
Spain	2009	Greece	1
Spain	2009	Armenia	4
Spain	2009	Moldova	5
Spain	2009	Turkey	2
Spain	2009	Norway	12
Spain	2009	Ukraine	6
Spain	2009	Romania	7
Spain	2009	United Kingdom	10
Spain	2010	Azerbaijan	7
Spain	2010	Greece	5
Spain	2010	Georgia	1
Spain	2010	Turkey	3
Spain	2010	France	2
Spain	2010	Romania	10
Spain	2010	Armenia	8
Spain	2010	Germany	12
Spain	2010	Portugal	6
Spain	2010	Denmark	4
Sweden	1975	Netherlands	12
Sweden	1975	Ireland	10
Sweden	1975	France	8
Sweden	1975	Luxembourg	4
Sweden	1975	Yugoslavia	7
Sweden	1975	United Kingdom	5
Sweden	1975	Belgium	2
Sweden	1975	Israel	6
Sweden	1975	Finland	3
Sweden	1975	Italy	1
Sweden	1977	Ireland	12
Sweden	1977	Monaco	10
Sweden	1977	Norway	1
Sweden	1977	Germany	5
Sweden	1977	United Kingdom	8
Sweden	1977	Greece	7
Sweden	1977	Israel	3
Sweden	1977	Finland	2
Sweden	1977	Belgium	4
Sweden	1977	France	6
Sweden	1978	Ireland	8
Sweden	1978	France	10
Sweden	1978	United Kingdom	3
Sweden	1978	Belgium	4
Sweden	1978	Netherlands	1
Sweden	1978	Germany	7
Sweden	1978	Monaco	12
Sweden	1978	Greece	2
Sweden	1978	Luxembourg	6
Sweden	1978	Austria	5
Sweden	1979	Portugal	3
Sweden	1979	Denmark	1
Sweden	1979	Ireland	8
Sweden	1979	Greece	2
Sweden	1979	Germany	6
Sweden	1979	Israel	12
Sweden	1979	France	5
Sweden	1979	Netherlands	4
Sweden	1979	Norway	10
Sweden	1979	Spain	7
Sweden	1980	Austria	1
Sweden	1980	Luxembourg	6
Sweden	1980	Italy	10
Sweden	1980	Switzerland	2
Sweden	1980	Germany	5
Sweden	1980	United Kingdom	12
Sweden	1980	Portugal	8
Sweden	1980	Netherlands	3
Sweden	1980	France	4
Sweden	1980	Ireland	7
Sweden	1981	Austria	2
Sweden	1981	Germany	12
Sweden	1981	Luxembourg	5
Sweden	1981	Israel	3
Sweden	1981	Denmark	4
Sweden	1981	Finland	6
Sweden	1981	France	10
Sweden	1981	Ireland	7
Sweden	1981	United Kingdom	8
Sweden	1981	Switzerland	1
Sweden	1982	Portugal	6
Sweden	1982	Norway	4
Sweden	1982	Switzerland	2
Sweden	1982	Belgium	7
Sweden	1982	Denmark	1
Sweden	1982	Yugoslavia	12
Sweden	1982	Israel	10
Sweden	1982	Netherlands	3
Sweden	1982	Ireland	5
Sweden	1982	Germany	8
Sweden	1983	Norway	3
Sweden	1983	United Kingdom	12
Sweden	1983	Italy	2
Sweden	1983	Netherlands	6
Sweden	1983	Germany	8
Sweden	1983	Denmark	7
Sweden	1983	Israel	5
Sweden	1983	Portugal	1
Sweden	1983	Austria	4
Sweden	1983	Luxembourg	10
Sweden	1984	France	2
Sweden	1984	Spain	10
Sweden	1984	Norway	8
Sweden	1984	United Kingdom	3
Sweden	1984	Cyprus	4
Sweden	1984	Ireland	12
Sweden	1984	Denmark	5
Sweden	1984	Turkey	6
Sweden	1984	Finland	7
Sweden	1984	Switzerland	1
Sweden	1985	Ireland	7
Sweden	1985	Finland	10
Sweden	1985	Denmark	5
Sweden	1985	France	6
Sweden	1985	Germany	8
Sweden	1985	Israel	2
Sweden	1985	Norway	12
Sweden	1985	United Kingdom	4
Sweden	1985	Switzerland	1
Sweden	1985	Austria	3
Sweden	1986	Luxembourg	10
Sweden	1986	Yugoslavia	1
Sweden	1986	France	3
Sweden	1986	United Kingdom	8
Sweden	1986	Iceland	2
Sweden	1986	Switzerland	12
Sweden	1986	Ireland	7
Sweden	1986	Belgium	6
Sweden	1986	Germany	5
Sweden	1986	Denmark	4
Sweden	1987	Norway	10
Sweden	1987	Israel	4
Sweden	1987	Italy	1
Sweden	1987	Greece	6
Sweden	1987	United Kingdom	5
Sweden	1987	Germany	7
Sweden	1987	Cyprus	2
Sweden	1987	Finland	3
Sweden	1987	Denmark	8
Sweden	1987	Ireland	12
Sweden	1988	Iceland	1
Sweden	1988	United Kingdom	5
Sweden	1988	Turkey	4
Sweden	1988	Switzerland	12
Sweden	1988	Ireland	7
Sweden	1988	Denmark	3
Sweden	1988	Norway	8
Sweden	1988	Luxembourg	10
Sweden	1988	France	2
Sweden	1988	Yugoslavia	6
Sweden	1989	Israel	5
Sweden	1989	United Kingdom	10
Sweden	1989	Norway	2
Sweden	1989	Portugal	3
Sweden	1989	Denmark	12
Sweden	1989	Austria	7
Sweden	1989	Finland	4
Sweden	1989	France	1
Sweden	1989	Germany	6
Sweden	1989	Yugoslavia	8
Sweden	1990	Belgium	7
Sweden	1990	Iceland	8
Sweden	1990	Denmark	3
Sweden	1990	Germany	4
Sweden	1990	France	5
Sweden	1990	Yugoslavia	1
Sweden	1990	Ireland	12
Sweden	1990	Italy	10
Sweden	1990	Austria	2
Sweden	1990	Cyprus	6
Sweden	1991	Iceland	10
Sweden	1991	Malta	12
Sweden	1991	Switzerland	8
Sweden	1991	Luxembourg	1
Sweden	1991	France	5
Sweden	1991	Portugal	7
Sweden	1991	Denmark	3
Sweden	1991	Israel	6
Sweden	1991	Belgium	2
Sweden	1991	Spain	4
Sweden	1992	Israel	4
Sweden	1992	Greece	3
Sweden	1992	Malta	12
Sweden	1992	Iceland	6
Sweden	1992	Austria	1
Sweden	1992	United Kingdom	5
Sweden	1992	Ireland	10
Sweden	1992	Denmark	7
Sweden	1992	Italy	8
Sweden	1992	Norway	2
Sweden	1993	Switzerland	6
Sweden	1993	Denmark	1
Sweden	1993	Malta	4
Sweden	1993	Iceland	7
Sweden	1993	Portugal	2
Sweden	1993	France	8
Sweden	1993	Ireland	12
Sweden	1993	Slovenia	3
Sweden	1993	United Kingdom	10
Sweden	1993	Netherlands	5
Sweden	1994	Ireland	10
Sweden	1994	Iceland	8
Sweden	1994	Portugal	5
Sweden	1994	Malta	4
Sweden	1994	Germany	6
Sweden	1994	Norway	7
Sweden	1994	Greece	2
Sweden	1994	Austria	1
Sweden	1994	Hungary	12
Sweden	1994	France	3
Sweden	1995	Ireland	10
Sweden	1995	Iceland	6
Sweden	1995	Austria	4
Sweden	1995	France	3
Sweden	1995	United Kingdom	5
Sweden	1995	Cyprus	8
Sweden	1995	Denmark	12
Sweden	1995	Slovenia	7
Sweden	1995	Israel	2
Sweden	1995	Malta	1
Sweden	1996	United Kingdom	6
Sweden	1996	Portugal	4
Sweden	1996	Cyprus	2
Sweden	1996	Malta	5
Sweden	1996	Croatia	1
Sweden	1996	Greece	3
Sweden	1996	Estonia	12
Sweden	1996	Norway	10
Sweden	1996	Netherlands	8
Sweden	1996	Ireland	7
Sweden	1997	Turkey	6
Sweden	1997	Ireland	10
Sweden	1997	Italy	3
Sweden	1997	Estonia	1
Sweden	1997	Bosnia-Herzegovina	4
Sweden	1997	Denmark	7
Sweden	1997	France	2
Sweden	1997	Croatia	5
Sweden	1997	United Kingdom	12
Sweden	1997	Iceland	8
Sweden	1998	Croatia	3
Sweden	1998	Israel	5
Sweden	1998	Malta	6
Sweden	1998	Ireland	1
Sweden	1998	United Kingdom	7
Sweden	1998	Netherlands	8
Sweden	1998	Belgium	2
Sweden	1998	Finland	10
Sweden	1998	Norway	12
Sweden	1998	Estonia	4
Sweden	1999	Croatia	1
Sweden	1999	Norway	5
Sweden	1999	Denmark	8
Sweden	1999	Netherlands	4
Sweden	1999	Iceland	12
Sweden	1999	Austria	7
Sweden	1999	Israel	3
Sweden	1999	Germany	2
Sweden	1999	Bosnia-Herzegovina	6
Sweden	1999	Estonia	10
Sweden	2000	Estonia	6
Sweden	2000	Malta	3
Sweden	2000	Norway	7
Sweden	2000	Russia	5
Sweden	2000	Iceland	8
Sweden	2000	Denmark	12
Sweden	2000	Finland	2
Sweden	2000	Latvia	10
